	num_hpo_annotation	num_disease	num_patient
Entrez:55670	133	2.0	1
Entrez:1146	133	2.0	2
Entrez:23384	132	3.0	5
Entrez:547	132	4.0	6
Entrez:998	131	1.0	2
Entrez:4210	131	2.0	4
Entrez:7249	131	3.0	5
Entrez:1145	130	3.0	1
Entrez:4010	130	1.0	2
Entrez:85358	130	2.0	11
Entrez:57728	129	4.0	2
Entrez:10522	129	2.0	5
Entrez:9927	128	3.0	3
Entrez:5077	128	4.0	11
Entrez:5885	128	2.0	2
Entrez:171023	127	2.0	14
Entrez:2132	127	2.0	2
Entrez:1186	126	3.0	2
Entrez:54806	125	1.0	3
Entrez:657	125	2.0	1
Entrez:8398	124	3.0	8
Entrez:79158	123	2.0	23
Entrez:51604	123	2.0	1
Entrez:1144	123	4.0	1
Entrez:10815	123	2.0	1
Entrez:4763	122	5.0	49
Entrez:1387	122	1.0	22
Entrez:1302	122	5.0	3
Entrez:5295	121	3.0	3
Entrez:4352	121	3.0	1
Entrez:6323	121	3.0	15
Entrez:2175	121	1.0	1
Entrez:2736	120	2.0	2
Entrez:6469	120	4.0	1
Entrez:5888	120	3.0	1
Entrez:54551	120	2.0	6
Entrez:8799	119	1.0	1
Entrez:2706	119	8.0	19
Entrez:5073	118	2.0	1
Entrez:29123	118	1.0	47
Entrez:4976	118	4.0	5
Entrez:1292	117	3.0	5
Entrez:1376	116	4.0	2
Entrez:23394	116	1.0	10
Entrez:860	116	2.0	10
Entrez:93627	116	1.0	4
Entrez:2623	116	4.0	9
Entrez:1289	116	2.0	4
Entrez:3815	115	5.0	1
Entrez:9321	115	2.0	1
Entrez:617	115	4.0	1
Entrez:1482	115	6.0	2
Entrez:10908	114	4.0	1
Entrez:4038	114	3.0	1
Entrez:10312	114	1.0	1
Entrez:5605	114	1.0	2
Entrez:5961	114	5.0	7
Entrez:2137	113	1.0	1
Entrez:7084	113	2.0	1
Entrez:7020	113	1.0	7
Entrez:291	112	3.0	2
Entrez:1282	112	4.0	4
Entrez:139285	112	1.0	2
Entrez:23345	111	3.0	4
Entrez:1188	111	2.0	2
Entrez:1293	111	3.0	2
Entrez:157680	111	1.0	11
Entrez:5889	109	2.0	2
Entrez:4998	109	1.0	3
Entrez:4593	109	2.0	2
Entrez:3664	109	3.0	3
Entrez:1756	109	3.0	12
Entrez:64359	109	1.0	1
Entrez:4867	109	3.0	2
Entrez:8085	109	1.0	23
Entrez:60684	108	1.0	2
Entrez:400916	108	3.0	1
Entrez:29110	108	2.0	1
Entrez:7046	108	2.0	1
Entrez:7466	108	5.0	1
Entrez:3239	108	5.0	2
Entrez:2896	107	2.0	1
Entrez:4693	107	2.0	3
Entrez:9742	107	2.0	2
Entrez:23126	107	1.0	7
Entrez:134218	107	2.0	1
Entrez:83990	107	2.0	3
Entrez:80025	107	2.0	3
Entrez:6299	107	1.0	4
Entrez:10555	106	1.0	1
Entrez:3861	105	6.0	1
Entrez:2720	105	4.0	6
Entrez:55650	105	1.0	30
Entrez:1303	105	2.0	1
Entrez:57688	105	2.0	1
Entrez:6559	105	1.0	2
Entrez:84942	105	1.0	2
Entrez:91574	105	2.0	1
Entrez:7840	104	1.0	6
Entrez:10262	104	1.0	2
Entrez:79659	104	1.0	13
Entrez:79577	104	3.0	1
Entrez:54499	103	1.0	2
Entrez:2146	103	1.0	3
Entrez:2645	103	4.0	3
Entrez:10381	102	2.0	2
Entrez:9652	102	1.0	1
Entrez:57679	101	3.0	3
Entrez:7454	101	3.0	3
Entrez:1487	101	2.0	2
Entrez:2121	101	2.0	1
Entrez:132884	101	2.0	1
Entrez:25839	101	2.0	2
Entrez:9373	101	1.0	1
Entrez:23389	100	2.0	12
Entrez:10020	100	2.0	2
Entrez:1291	100	2.0	6
Entrez:285175	100	1.0	3
Entrez:5015	100	2.0	1
Entrez:50964	100	3.0	1
Entrez:3172	99	3.0	2
Entrez:7319	99	1.0	1
Entrez:6103	99	4.0	12
Entrez:80169	99	1.0	1
Entrez:3784	99	5.0	10
Entrez:6473	99	3.0	1
Entrez:3832	99	1.0	2
Entrez:8924	98	2.0	1
Entrez:2189	98	1.0	1
Entrez:7080	98	3.0	2
Entrez:2301	98	2.0	2
Entrez:22930	97	1.0	1
Entrez:55690	97	1.0	6
Entrez:6611	97	1.0	2
Entrez:196528	97	1.0	3
Entrez:4286	97	5.0	7
Entrez:1583	97	1.0	1
Entrez:846	97	3.0	1
Entrez:8642	96	2.0	1
Entrez:6331	96	8.0	6
Entrez:1311	96	2.0	1
Entrez:4869	96	1.0	1
Entrez:8450	96	1.0	2
Entrez:55697	96	1.0	1
Entrez:84168	95	2.0	5
Entrez:2475	95	2.0	5
Entrez:6576	94	2.0	2
Entrez:9997	94	2.0	1
Entrez:6334	94	4.0	11
Entrez:11284	94	2.0	3
Entrez:113179	94	1.0	1
Entrez:79813	94	1.0	14
Entrez:5897	94	3.0	1
Entrez:368	93	3.0	113
Entrez:9939	93	1.0	2
Entrez:7518	93	1.0	1
Entrez:2717	92	1.0	3
Entrez:2022	92	1.0	4
Entrez:80208	92	3.0	12
Entrez:71	92	2.0	4
Entrez:27086	92	1.0	9
Entrez:2245	92	1.0	11
Entrez:6605	92	2.0	4
Entrez:1832	92	6.0	6
Entrez:5977	92	1.0	1
Entrez:5277	92	2.0	1
Entrez:55975	92	2.0	3
Entrez:2271	91	2.0	4
Entrez:779	91	3.0	1
Entrez:7528	91	1.0	1
Entrez:8925	91	1.0	1
Entrez:57231	91	1.0	5
Entrez:4683	91	3.0	8
Entrez:3737	91	1.0	1
Entrez:8241	91	1.0	1
Entrez:867	90	2.0	4
Entrez:79152	90	1.0	1
Entrez:6638	90	2.0	5
Entrez:128989	90	1.0	6
Entrez:526	90	2.0	1
Entrez:10075	89	1.0	3
Entrez:124583	89	2.0	1
Entrez:4436	89	3.0	1
Entrez:51816	89	2.0	2
Entrez:4292	89	3.0	3
Entrez:10084	89	1.0	3
Entrez:51053	89	1.0	3
Entrez:3549	89	2.0	1
Entrez:6597	89	2.0	12
Entrez:25914	89	1.0	2
Entrez:367	88	5.0	1
Entrez:4313	88	1.0	1
Entrez:197131	88	1.0	1
Entrez:8289	88	1.0	8
Entrez:8291	88	3.0	10
Entrez:165	88	1.0	1
Entrez:3630	88	4.0	1
Entrez:1630	88	4.0	1
Entrez:26137	88	1.0	2
Entrez:65109	88	1.0	1
Entrez:6870	87	1.0	2
Entrez:9394	87	1.0	1
Entrez:1103	87	1.0	1
Entrez:1947	87	1.0	16
Entrez:64093	87	1.0	1
Entrez:6664	87	1.0	1
Entrez:403	86	2.0	1
Entrez:55154	86	1.0	1
Entrez:84153	86	1.0	1
Entrez:83636	86	2.0	3
Entrez:1290	86	1.0	1
Entrez:57165	86	3.0	2
Entrez:80232	85	1.0	4
Entrez:201163	85	5.0	1
Entrez:6657	85	1.0	2
Entrez:84720	85	1.0	9
Entrez:3077	84	4.0	1
Entrez:175	84	1.0	1
Entrez:22866	84	1.0	1
Entrez:6928	84	3.0	1
Entrez:1130	84	1.0	1
Entrez:6595	84	1.0	17
Entrez:284058	84	1.0	7
Entrez:6949	83	1.0	11
Entrez:4629	83	1.0	2
Entrez:10847	83	1.0	10
Entrez:392255	83	5.0	1
Entrez:7439	83	4.0	1
Entrez:8195	83	2.0	1
Entrez:23230	83	1.0	1
Entrez:1184	82	4.0	2
Entrez:545	82	2.0	1
Entrez:7355	82	1.0	2
Entrez:2775	82	2.0	3
Entrez:27031	82	3.0	1
Entrez:6654	82	2.0	22
Entrez:5053	82	1.0	6
Entrez:54332	81	4.0	3
Entrez:6786	81	3.0	1
Entrez:3248	81	2.0	2
Entrez:478	81	3.0	6
Entrez:23064	81	2.0	2
Entrez:8726	81	1.0	1
Entrez:57096	80	2.0	2
Entrez:2956	80	3.0	2
Entrez:2776	80	2.0	1
Entrez:22880	80	1.0	1
Entrez:5718	80	1.0	3
Entrez:875	80	1.0	1
Entrez:80704	80	1.0	3
Entrez:83696	80	1.0	2
Entrez:57704	79	1.0	2
Entrez:6857	79	1.0	1
Entrez:23314	79	1.0	7
Entrez:1785	79	3.0	2
Entrez:79868	79	1.0	2
Entrez:203859	79	3.0	5
Entrez:1822	79	2.0	1
Entrez:26053	79	1.0	2
Entrez:7204	79	1.0	6
Entrez:6016	78	1.0	55
Entrez:3908	78	2.0	6
Entrez:57526	78	1.0	2
Entrez:2903	78	1.0	3
Entrez:2554	78	1.0	3
Entrez:51119	78	2.0	1
Entrez:10939	78	2.0	1
Entrez:1080	78	4.0	3
Entrez:11285	77	1.0	1
Entrez:9820	77	1.0	7
Entrez:93210	77	1.0	27
Entrez:5831	77	2.0	15
Entrez:127833	77	1.0	1
Entrez:79621	77	1.0	2
Entrez:10516	77	3.0	1
Entrez:5528	76	1.0	3
Entrez:3561	76	2.0	2
Entrez:472	76	2.0	30
Entrez:2521	76	2.0	1
Entrez:9949	76	1.0	2
Entrez:27315	76	1.0	10
Entrez:10479	76	1.0	5
Entrez:120892	76	1.0	2
Entrez:1406	76	3.0	2
Entrez:695	76	2.0	1
Entrez:79751	75	1.0	1
Entrez:6601	75	1.0	1
Entrez:80326	75	3.0	2
Entrez:3708	75	3.0	5
Entrez:2705	75	1.0	4
Entrez:64132	75	2.0	1
Entrez:182	74	2.0	15
Entrez:8792	74	3.0	1
Entrez:4556	74		1
Entrez:4915	74	2.0	1
Entrez:6785	74	3.0	1
Entrez:203068	74	2.0	2
Entrez:1027	74	1.0	1
Entrez:7507	74	1.0	2
Entrez:123016	73	2.0	1
Entrez:582	73	1.0	3
Entrez:1161	73	2.0	4
Entrez:348	73	5.0	2
Entrez:113278	73	2.0	1
Entrez:641	73	1.0	82
Entrez:5530	73	2.0	2
Entrez:285489	73	1.0	1
Entrez:9829	73	1.0	1
Entrez:10273	73	2.0	1
Entrez:9420	73	2.0	1
Entrez:55777	73	1.0	2
Entrez:1910	72	3.0	2
Entrez:1908	72	3.0	1
Entrez:249	72	3.0	3
Entrez:341640	72	2.0	1
Entrez:57459	72	1.0	9
Entrez:4322	72	2.0	1
Entrez:54496	72	1.0	3
Entrez:79876	71	2.0	2
Entrez:1759	71	1.0	3
Entrez:10059	71	2.0	2
Entrez:23363	71	1.0	4
Entrez:7051	71	1.0	3
Entrez:84100	71	3.0	1
Entrez:55644	71	1.0	1
Entrez:8242	70	1.0	5
Entrez:8216	70	2.0	3
Entrez:6659	70	1.0	1
Entrez:583	70	2.0	2
Entrez:2186	70	1.0	11
Entrez:5449	69	1.0	1
Entrez:23418	69	3.0	4
Entrez:6927	69	6.0	1
Entrez:2990	69	1.0	1
Entrez:3914	69	3.0	1
Entrez:286	69	1.0	1
Entrez:2517	69	1.0	1
Entrez:9499	69	2.0	3
Entrez:6535	69	1.0	1
Entrez:1917	69	2.0	4
Entrez:55210	68	1.0	2
Entrez:56975	68	1.0	2
Entrez:5913	68	1.0	1
Entrez:7486	68	1.0	1
Entrez:1896	68	2.0	6
Entrez:999	68	6.0	28
Entrez:80816	68	1.0	12
Entrez:9839	68	1.0	26
Entrez:26278	68	1.0	4
Entrez:24	68	4.0	32
Entrez:116150	68	2.0	1
Entrez:5354	68	2.0	1
Entrez:2643	68	2.0	4
Entrez:10717	68	1.0	2
Entrez:51204	68	1.0	1
Entrez:94	67	1.0	1
Entrez:84295	67	1.0	5
Entrez:6658	67	2.0	1
Entrez:2892	67	1.0	2
Entrez:1028	67	2.0	3
Entrez:5395	67	2.0	4
Entrez:26154	67	2.0	2
Entrez:5648	67	1.0	8
Entrez:23426	67	1.0	1
Entrez:80055	67	1.0	2
Entrez:3798	67	3.0	6
Entrez:23065	67	1.0	1
Entrez:6010	66	3.0	2
Entrez:50943	66	1.0	3
Entrez:540	66	1.0	2
Entrez:7994	66	1.0	6
Entrez:7299	66	3.0	9
Entrez:8842	66	4.0	1
Entrez:7287	66	2.0	1
Entrez:54968	66	1.0	1
Entrez:5351	66	1.0	4
Entrez:57531	66	1.0	1
Entrez:5518	66	1.0	2
Entrez:51082	66	1.0	1
Entrez:55835	65	2.0	6
Entrez:7703	65	1.0	1
Entrez:3575	65	1.0	1
Entrez:9179	65	1.0	1
Entrez:9343	65	1.0	10
Entrez:257	65	1.0	1
Entrez:3000	65	3.0	4
Entrez:79644	65	2.0	2
Entrez:6328	64	2.0	1
Entrez:285362	64	1.0	1
Entrez:2296	64	2.0	2
Entrez:138050	64	2.0	2
Entrez:166378	64	1.0	3
Entrez:5925	64	4.0	1
Entrez:10352	64	1.0	1
Entrez:7401	64	3.0	1
Entrez:2182	64	1.0	1
Entrez:6567	64	1.0	4
Entrez:6794	64	3.0	2
Entrez:60681	63	2.0	1
Entrez:55703	63	3.0	3
Entrez:5160	63	1.0	4
Entrez:54756	63	2.0	1
Entrez:3766	63	3.0	1
